equivalence_id,member_count,base_name,render_bucket,members,basis
SHADER_EQ_0076,2,radar,0,gta_radar.sps | radar.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0077,2,reflect,1,gta_reflect_alpha.sps | reflect_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0078,2,spec,0,gta_spec.sps | spec.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0079,1,minimap,0,minimap.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0080,1,mirror_crack,1,mirror_crack.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0081,1,mirror_decal,1,mirror_decal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0082,1,mirror_default,1,mirror_default.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0083,1,normal,1,normal_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0084,1,normal_cubemap_reflect,0,normal_cubemap_reflect.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0085,2,normal,3,normal_cutout.sps | normal_screendooralpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0086,1,normal_tnt,3,normal_cutout_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0087,1,normal_um,3,normal_cutout_um.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0088,1,normal_decal,2,normal_decal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0089,1,normal_decal_pxm,2,normal_decal_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0090,1,normal_decal_pxm_tnt,2,normal_decal_pxm_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0091,1,normal_decal_tnt,2,normal_decal_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0092,1,normal_detail,0,normal_detail.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0093,1,normal_detail_dpm,0,normal_detail_dpm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0094,1,normal_diffspec,0,normal_diffspec.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0095,1,normal_diffspec_detail,0,normal_diffspec_detail.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0096,1,normal_diffspec_detail_dpm,0,normal_diffspec_detail_dpm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0097,1,normal_diffspec_detail_dpm_tnt,0,normal_diffspec_detail_dpm_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0098,1,normal_diffspec_detail_tnt,0,normal_diffspec_detail_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0099,1,normal_diffspec_tnt,0,normal_diffspec_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0100,1,normal_pxm,0,normal_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0101,2,normal_pxm_tnt,0,normal_pxm_tnt.sps | normal_tnt_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0102,1,normal_reflect,0,normal_reflect.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0103,1,normal_reflect,1,normal_reflect_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0104,1,normal_reflect_decal,2,normal_reflect_decal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0105,1,normal_reflect,3,normal_reflect_screendooralpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0106,1,normal_spec,0,normal_spec.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0107,1,normal_spec,1,normal_spec_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0108,1,normal_spec_batch,3,normal_spec_batch.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0109,1,normal_spec_cubemap_reflect,0,normal_spec_cubemap_reflect.sps,"same base shader, render bucket, parameters and layouts"
