selector,equivalence_id,member_count,base_name,render_bucket,structure_fingerprint,members,basis
default_noedge.sps,SHADER_EQ_0038,3,default,0,6e1f9c294ac8ec80,default.sps | default_noedge.sps | gta_default.sps,"same base shader, render bucket, parameters and layouts"
gta_default.sps,SHADER_EQ_0038,3,default,0,6e1f9c294ac8ec80,default.sps | default_noedge.sps | gta_default.sps,"same base shader, render bucket, parameters and layouts"
default_detail.sps,SHADER_EQ_0039,1,default_detail,0,677be7ea94cfa3c7,default_detail.sps,"same base shader, render bucket, parameters and layouts"
default_spec.sps,SHADER_EQ_0040,2,default_spec,0,95a4aa86c3339864,default_spec.sps | spec_const.sps,"same base shader, render bucket, parameters and layouts"
spec_const.sps,SHADER_EQ_0040,2,default_spec,0,95a4aa86c3339864,default_spec.sps | spec_const.sps,"same base shader, render bucket, parameters and layouts"
default_terrain_wet.sps,SHADER_EQ_0041,1,default_terrain_wet,0,8f02149f7c4b07c4,default_terrain_wet.sps,"same base shader, render bucket, parameters and layouts"
default_tnt.sps,SHADER_EQ_0042,1,default_tnt,0,1569cc499a7263a5,default_tnt.sps,"same base shader, render bucket, parameters and layouts"
default_um.sps,SHADER_EQ_0043,1,default_um,0,b1d7da839a844184,default_um.sps,"same base shader, render bucket, parameters and layouts"
distance_map.sps,SHADER_EQ_0044,1,distance_map,2,578e4b36953a4ab7,distance_map.sps,"same base shader, render bucket, parameters and layouts"
emissive.sps,SHADER_EQ_0045,1,emissive,0,d6cbc8c67fbedc32,emissive.sps,"same base shader, render bucket, parameters and layouts"
emissive_additive_alpha.sps,SHADER_EQ_0046,1,emissive_additive_alpha,1,eca70c81517ca263,emissive_additive_alpha.sps,"same base shader, render bucket, parameters and layouts"
emissive_additive_uv_alpha.sps,SHADER_EQ_0047,1,emissive_additive_uv_alpha,1,ad09165b8b67c524,emissive_additive_uv_alpha.sps,"same base shader, render bucket, parameters and layouts"
emissive_alpha.sps,SHADER_EQ_0048,1,emissive,1,d6cbc8c67fbedc32,emissive_alpha.sps,"same base shader, render bucket, parameters and layouts"
emissive_alpha_tnt.sps,SHADER_EQ_0049,1,emissive_tnt,1,ca1ab5a6102e8fad,emissive_alpha_tnt.sps,"same base shader, render bucket, parameters and layouts"
emissive_clip.sps,SHADER_EQ_0050,1,emissive_clip,0,24975805cbc9f3ae,emissive_clip.sps,"same base shader, render bucket, parameters and layouts"
emissive_speclum.sps,SHADER_EQ_0051,1,emissive_speclum,0,b7af6a545230533e,emissive_speclum.sps,"same base shader, render bucket, parameters and layouts"
emissive_tnt.sps,SHADER_EQ_0052,1,emissive_tnt,0,ca1ab5a6102e8fad,emissive_tnt.sps,"same base shader, render bucket, parameters and layouts"
emissivenight.sps,SHADER_EQ_0053,1,emissivenight,0,e838c3416b68db25,emissivenight.sps,"same base shader, render bucket, parameters and layouts"
emissivenight_alpha.sps,SHADER_EQ_0054,1,emissivenight,1,e838c3416b68db25,emissivenight_alpha.sps,"same base shader, render bucket, parameters and layouts"
emissivenight_geomnightonly.sps,SHADER_EQ_0055,1,emissivenight_geomnightonly,0,9e8fc13c5b597793,emissivenight_geomnightonly.sps,"same base shader, render bucket, parameters and layouts"
emissivestrong.sps,SHADER_EQ_0056,1,emissivestrong,0,43d547ef04c73a28,emissivestrong.sps,"same base shader, render bucket, parameters and layouts"
emissivestrong_alpha.sps,SHADER_EQ_0057,1,emissivestrong,1,43d547ef04c73a28,emissivestrong_alpha.sps,"same base shader, render bucket, parameters and layouts"
glass.sps,SHADER_EQ_0058,1,glass,1,f4ccf1d514861ad1,glass.sps,"same base shader, render bucket, parameters and layouts"
glass_breakable.sps,SHADER_EQ_0059,1,glass_breakable,1,21a196dbff6c397b,glass_breakable.sps,"same base shader, render bucket, parameters and layouts"
glass_breakable_screendooralpha.sps,SHADER_EQ_0060,1,glass_breakable,3,21a196dbff6c397b,glass_breakable_screendooralpha.sps,"same base shader, render bucket, parameters and layouts"
glass_displacement.sps,SHADER_EQ_0061,1,glass_displacement,7,cbe4960b4d9dd096,glass_displacement.sps,"same base shader, render bucket, parameters and layouts"
glass_emissive.sps,SHADER_EQ_0062,1,glass_emissive,0,d8b369439ba3da91,glass_emissive.sps,"same base shader, render bucket, parameters and layouts"
glass_emissive_alpha.sps,SHADER_EQ_0063,1,glass_emissive,1,d8b369439ba3da91,glass_emissive_alpha.sps,"same base shader, render bucket, parameters and layouts"
glass_emissivenight.sps,SHADER_EQ_0064,2,glass_emissivenight,1,c80ffdcf3875dbbe,glass_emissivenight.sps | glass_emissivenight_alpha.sps,"same base shader, render bucket, parameters and layouts"
glass_emissivenight_alpha.sps,SHADER_EQ_0064,2,glass_emissivenight,1,c80ffdcf3875dbbe,glass_emissivenight.sps | glass_emissivenight_alpha.sps,"same base shader, render bucket, parameters and layouts"
glass_env.sps,SHADER_EQ_0065,1,glass_env,1,4b2bf30b0295ef3b,glass_env.sps,"same base shader, render bucket, parameters and layouts"
glass_normal_spec_reflect.sps,SHADER_EQ_0066,1,glass_normal_spec_reflect,1,dfaac5bb186aed6e,glass_normal_spec_reflect.sps,"same base shader, render bucket, parameters and layouts"
glass_pv.sps,SHADER_EQ_0067,1,glass_pv,1,748155149f334d46,glass_pv.sps,"same base shader, render bucket, parameters and layouts"
glass_pv_env.sps,SHADER_EQ_0068,1,glass_pv_env,1,40e94a006464e233,glass_pv_env.sps,"same base shader, render bucket, parameters and layouts"
glass_reflect.sps,SHADER_EQ_0069,1,glass_reflect,1,f9f67d257b590746,glass_reflect.sps,"same base shader, render bucket, parameters and layouts"
glass_spec.sps,SHADER_EQ_0070,1,glass_spec,1,8571759b9d3a22ac,glass_spec.sps,"same base shader, render bucket, parameters and layouts"
grass.sps,SHADER_EQ_0071,1,grass,3,9781e480b6c2c908,grass.sps,"same base shader, render bucket, parameters and layouts"
grass_batch.sps,SHADER_EQ_0072,1,grass_batch,3,9052b98f493a6643,grass_batch.sps,"same base shader, render bucket, parameters and layouts"
grass_fur.sps,SHADER_EQ_0073,1,grass_fur,3,16f37795ba96e467,grass_fur.sps,"same base shader, render bucket, parameters and layouts"
grass_fur_mask.sps,SHADER_EQ_0074,1,grass_fur_mask,3,560eb12f3e97e118,grass_fur_mask.sps,"same base shader, render bucket, parameters and layouts"
gta_normal.sps,SHADER_EQ_0075,2,normal,0,09aac5da7e515c6f,gta_normal.sps | normal.sps,"same base shader, render bucket, parameters and layouts"
normal.sps,SHADER_EQ_0075,2,normal,0,09aac5da7e515c6f,gta_normal.sps | normal.sps,"same base shader, render bucket, parameters and layouts"
